qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,ara-Arab-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:16:422:3:10110,10110,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10110,Ain el-Mreisseh,عين المريسه,LB10110,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10150,10150,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10150,Ras Beyrouth,راس بيروت,LB10150,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10210,10210,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10210,Moussaytbeh,مصيطبة,LB10210,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10250,10250,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10250,Minet el-Hosn,مينا الحصن,LB10250,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10310,10310,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10310,Mazraa,المزرعة,LB10310,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10350,10350,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10350,Bachoura,باشورة,LB10350,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10410,10410,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10410,Zoukak el-Blatt,زقاق البلاط,LB10410,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10450,10450,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10450,Marfaa,مرفأ,LB10450,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10510,10510,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10510,Saifeh,صيفي,LB10510,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10550,10550,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10550,Remeil,رميل,LB10550,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10610,10610,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10610,Medawar,مدور,LB10610,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10650,10650,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10650,Achrafieh,الاشرفية,LB10650,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10999,10999,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10999,Beirut Central District,وسط بيروت,LB10999,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21111,21111,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21111,Chiyah,شياح,LB21111,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21133,21133,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21133,Furn Ech-Chebbak,فرن الشباك,LB21133,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21144,21144,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21144,Haret Hreik,حارة حريك,LB21144,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
