#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:16:422:3:10110,10110,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10110,Ain el-Mreisseh,عين المريسه,LB10110,Ain el-Mreisseh,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10150,10150,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10150,Ras Beyrouth,راس بيروت,LB10150,Ras Beyrouth,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10210,10210,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10210,Moussaytbeh,مصيطبة,LB10210,Moussaytbeh,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10250,10250,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10250,Minet el-Hosn,مينا الحصن,LB10250,Minet el-Hosn,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10310,10310,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10310,Mazraa,المزرعة,LB10310,Mazraa,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10350,10350,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10350,Bachoura,باشورة,LB10350,Bachoura,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10410,10410,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10410,Zoukak el-Blatt,زقاق البلاط,LB10410,Zoukak el-Blatt,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10450,10450,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10450,Marfaa,مرفأ,LB10450,Marfaa,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10510,10510,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10510,Saifeh,صيفي,LB10510,Saifeh,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10550,10550,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10550,Remeil,رميل,LB10550,Remeil,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10610,10610,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10610,Medawar,مدور,LB10610,Medawar,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10650,10650,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10650,Achrafieh,الاشرفية,LB10650,Achrafieh,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:10999,10999,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,1603:16:422:3:10999,Beirut Central District,وسط بيروت,LB10999,Beirut Central District,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21111,21111,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21111,Chiyah,شياح,LB21111,Chiyah,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21133,21133,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21133,Furn Ech-Chebbak,فرن الشباك,LB21133,Furn Ech-Chebbak,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21144,21144,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21144,Haret Hreik,حارة حريك,LB21144,Haret Hreik,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21166,21166,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21166,Laylakeh,ليلكي,LB21166,Laylakeh,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21177,21177,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21177,Bourj El-Brajneh,برج البراجنة,LB21177,Bourj El-Brajneh,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21188,21188,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21188,Tahouitat El Ghadir,تحويطة الغدير,LB21188,Tahouitat El Ghadir,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21211,21211,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21211,Baabda,بعبدا,LB21211,Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21219,21219,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21219,Hadath Beyrouth,حدث,LB21219,Hadath Beyrouth,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
